farm_id,code,add_code,addr1,addr2,addr3,f.add_code,f.addr1,f.addr2,f.addr3,p1.age,p1.sex,toddler,kinder,elem,middle,high,parents,child,teenager,age_c,index7
강릉시_3_0_0_0,558084,4215032000,강원도,강릉시,왕산면,4215064500,강원도,강릉시,성덕동,54,1,0,0,0,0,0,0,0,0,3,3
강릉시_3_0_0_0,491166,4215031000,강원도,강릉시,성산면,4215057200,강원도,강릉시,포남2동,52,1,0,0,0,0,0,0,0,0,3,3
강릉시_3_0_0_0,492898,4215036000,강원도,강릉시,사천면,4215057100,강원도,강릉시,포남1동,53,2,0,0,0,0,0,0,0,0,3,3
강릉시_3_0_0_0,465392,4223032000,강원도,삼척시,하장면,4215057200,강원도,강릉시,포남2동,54,1,0,0,0,0,0,0,0,0,3,3
강릉시_3_0_1_0,503661,4283034000,강원도,양양군,현남면,4215025000,강원도,강릉시,주문진읍,51,1,0,0,0,0,1,0,0,1,3,3
강릉시_3_0_1_0,528664,4215036000,강원도,강릉시,사천면,4215036000,강원도,강릉시,사천면,51,2,0,0,0,0,1,0,0,1,3,3
강릉시_3_0_1_0,506977,4215032000,강원도,강릉시,왕산면,4215057100,강원도,강릉시,포남1동,51,2,0,0,0,1,0,0,0,1,3,3
강릉시_3_0_1_0,391694,4215025000,강원도,강릉시,주문진읍,4215037000,강원도,강릉시,연곡면,50,1,0,0,0,0,1,0,0,1,3,3
강릉시_3_0_1_0,358906,4215037000,강원도,강릉시,연곡면,4215037000,강원도,강릉시,연곡면,59,1,0,0,0,0,1,0,0,1,3,3
강릉시_3_0_1_0,426808,4215031000,강원도,강릉시,성산면,4215034000,강원도,강릉시,강동면,54,1,0,0,0,0,1,0,0,1,3,3
강릉시_3_0_1_0,438726,4223025300,강원도,삼척시,원덕읍,4215064500,강원도,강릉시,성덕동,57,1,0,0,0,0,1,0,0,1,3,3
강릉시_3_0_1_0,377509,4276035000,강원도,평창군,용평면,4215052000,강원도,강릉시,중앙동,54,1,0,0,0,0,1,0,0,1,3,3
강릉시_3_0_1_0,485194,4215037000,강원도,강릉시,연곡면,4215064500,강원도,강릉시,성덕동,50,1,0,0,0,0,1,0,0,1,3,3
강릉시_3_0_1_0,341169,4215025000,강원도,강릉시,주문진읍,4215055000,강원도,강릉시,교1동,55,1,0,0,0,0,1,0,0,1,3,3
강릉시_3_0_1_1,441274,4215036000,강원도,강릉시,사천면,4215036000,강원도,강릉시,사천면,59,1,0,0,0,0,1,1,0,1,3,3
강릉시_4_0_0_0,368053,4277035000,강원도,정선군,임계면,4215056000,강원도,강릉시,교2동,71,2,0,0,0,0,0,0,0,0,4,3
강릉시_4_0_0_0,518350,4215036000,강원도,강릉시,사천면,4215066500,강원도,강릉시,경포동,78,1,0,0,0,0,0,0,0,0,4,3
강릉시_4_0_0_0,479852,4283034000,강원도,양양군,현남면,4215064500,강원도,강릉시,성덕동,67,1,0,0,0,0,0,0,0,0,4,3
강릉시_4_0_0_0,483902,4215033000,강원도,강릉시,구정면,4215033000,강원도,강릉시,구정면,66,1,0,0,0,0,0,0,0,0,4,3
강릉시_4_0_0_0,474686,4213032000,강원도,원주시,호저면,4215034000,강원도,강릉시,강동면,62,1,0,0,0,0,0,0,0,0,4,3
강릉시_4_0_0_0,404568,4215034000,강원도,강릉시,강동면,4215051000,강원도,강릉시,홍제동,69,1,0,0,0,0,0,0,0,0,4,3
강릉시_4_0_0_0,541789,2871037000,인천광역시,강화군,하점면,4215025000,강원도,강릉시,주문진읍,80,1,0,0,0,0,0,0,0,0,4,3
강릉시_4_0_0_0,430271,4215033000,강원도,강릉시,구정면,4215055000,강원도,강릉시,교1동,64,2,0,0,0,0,0,0,0,0,4,3
강릉시_4_0_1_0,481423,4215035000,강원도,강릉시,옥계면,4215035000,강원도,강릉시,옥계면,60,1,0,0,0,0,1,0,0,1,4,3
강릉시_4_0_1_0,382291,4215036000,강원도,강릉시,사천면,4215055000,강원도,강릉시,교1동,60,1,0,0,0,0,1,0,0,1,4,3
강릉시_4_0_1_0,429799,4215034000,강원도,강릉시,강동면,4215057200,강원도,강릉시,포남2동,62,1,0,0,0,0,1,0,0,1,4,3
강릉시_4_0_1_0,531620,4215031000,강원도,강릉시,성산면,4215051000,강원도,강릉시,홍제동,67,1,0,0,0,0,1,0,0,1,4,3
강릉시_4_0_1_0,505645,4215036000,강원도,강릉시,사천면,4215055000,강원도,강릉시,교1동,63,1,0,0,0,0,1,0,0,1,4,3
강릉시_4_0_1_0,508855,4215034000,강원도,강릉시,강동면,4215066500,강원도,강릉시,경포동,63,1,0,0,0,0,1,0,0,1,4,3
강릉시_4_0_1_0,471666,4275025000,강원도,영월군,영월읍,4215055000,강원도,강릉시,교1동,65,1,0,0,0,0,1,0,0,1,4,3
강릉시_4_0_1_0,545819,4215031000,강원도,강릉시,성산면,4215051000,강원도,강릉시,홍제동,67,1,0,0,0,0,1,0,0,1,4,3
강릉시_4_0_1_0,399441,4215031000,강원도,강릉시,성산면,4215058000,강원도,강릉시,초당동,70,1,0,0,0,0,1,0,0,1,4,3
강릉시_4_1_1_0,354361,4215035000,강원도,강릉시,옥계면,4215035000,강원도,강릉시,옥계면,70,1,1,1,0,0,1,0,1,1,4,3
강진군_1_0_0_0,515990,4681038000,전라남도,강진군,병영면,4681025000,전라남도,강진군,강진읍,35,1,0,0,0,0,0,0,0,0,1,3
강진군_1_0_0_0,553104,4681032000,전라남도,강진군,칠량면,4681025000,전라남도,강진군,강진읍,31,1,0,0,0,0,0,0,0,0,1,3
강진군_1_0_0_0,557616,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,21,2,0,0,0,0,0,0,0,0,1,3
강진군_1_0_0_0,401524,4681034000,전라남도,강진군,도암면,4681040000,전라남도,강진군,마량면,19,1,0,0,0,0,0,0,0,0,1,3
강진군_1_0_0_0,536782,4681035000,전라남도,강진군,신전면,4681032000,전라남도,강진군,칠량면,32,1,0,0,0,0,0,0,0,0,1,3
강진군_1_0_0_0,531998,4681037000,전라남도,강진군,작천면,4681025000,전라남도,강진군,강진읍,39,1,0,0,0,0,0,0,0,0,1,3
강진군_1_0_0_0,491469,4681040000,전라남도,강진군,마량면,4681025000,전라남도,강진군,강진읍,35,1,0,0,0,0,0,0,0,0,1,3
강진군_1_0_1_0,374828,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,33,1,0,0,0,0,1,0,0,1,1,3
강진군_1_1_0_0,534731,4681031000,전라남도,강진군,군동면,4681025000,전라남도,강진군,강진읍,35,2,0,0,1,0,0,0,1,0,1,3
강진군_1_1_1_0,507724,4681025000,전라남도,강진군,강진읍,4681031000,전라남도,강진군,군동면,32,1,1,0,0,0,1,0,1,1,1,3
강진군_1_1_1_0,521203,4681031000,전라남도,강진군,군동면,4681025000,전라남도,강진군,강진읍,31,1,1,1,0,0,1,0,1,1,1,3
강진군_1_1_1_0,390738,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,39,1,0,1,1,0,1,0,1,1,1,3
강진군_2_0_0_0,539483,4681037000,전라남도,강진군,작천면,4681037000,전라남도,강진군,작천면,49,1,0,0,0,0,0,0,0,0,2,3
강진군_2_0_0_0,551479,4681039000,전라남도,강진군,옴천면,4681039000,전라남도,강진군,옴천면,41,1,0,0,0,0,0,0,0,0,2,3
강진군_2_0_1_0,349070,4681025000,전라남도,강진군,강진읍,4681035000,전라남도,강진군,신전면,42,1,0,0,0,0,1,0,0,1,2,3
강진군_2_0_1_0,512097,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,47,1,0,0,0,1,1,0,0,1,2,3
강진군_2_0_1_0,354446,4681025000,전라남도,강진군,강진읍,4681033000,전라남도,강진군,대구면,46,1,0,0,0,0,1,0,0,1,2,3
강진군_2_1_0_0,499973,4681035000,전라남도,강진군,신전면,4681035000,전라남도,강진군,신전면,45,2,0,1,0,0,0,0,1,0,2,3
강진군_2_1_1_0,411535,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,44,1,0,0,1,0,1,0,1,1,2,3
