,rn,total_cnt,file_infos,regist_id,regist_nm,regist_dt,regist_date,updt_id,updt_nm,updt_dt,updt_date,data_id,data_nm,dataset_nm,dataset_dc,data_dc,cl_code,cl_full_nm,cl_nm_new,grid_provd_ennc,file_provd_ennc,api_provd_ennc,link_provd_ennc,raw_data_provd_ennc,entity_id,api_id,provd_instt_id,provd_instt_nm,jrsd_instt_code,jrsd_instt_nm,kwrd_one,kwrd_two,kwrd_three,job_charger_psitn,job_charger_nm,job_charger_tlphon_no,dataset_rm,lang,lang_nm,hold_stl_code,hold_stle_nm,updt_cycle_code,updt_cycle_nm,nxttrm_regist_prarnde,threeman_right_incls_ennc,ccl_code,ccl_nm,opn_year,realm_code,rdcnt,data_rm,tot_cnt,map_provd_ennc,chart_provd_ennc
0,1,1054,,,,2014.01.22,,,,,,20141014000000000093,농산물 이력 추적 등록정보,농산물이력추적등록정보,,"이력추적등록번호, 생산자명, 대표자명, 유효기간, 품목, 주소, 등록필지수, 재배면적, 생산계획량",2202,식품안전 > 이력추적,,Y,Y,Y,N,Y,TI_NAQS_FRMPRD_CHGHST,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,971,,0,Y,N
1,2,1054,,,,2014.10.14,,,,,,20141014000000000094,수입농산물 검사 통계정보,수입농산물검사정보,,"수입 농산물에 대한 품목, 원산지, 검사수량 등 검사 정보",2203,식품안전 > 검사,,Y,Y,Y,N,Y,TI_NAQS_INCME_FRMPRD_INSPCT,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,304,,0,N,Y
2,3,1054,,,,2014.10.14,,,,,,20141014000000000095,우수 식품 인증정보,우수식품인증정보,,"인증구분, 인증번호, 인증기관명, 인증업체, 주소, 제품명",2301,품질관리 > 인증,,Y,Y,Y,N,Y,TI_NAQS_EXCLNC_FOOD_CRTFC,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,282,,0,Y,N
3,4,1054,,,,2014.10.15,,,,,,20141015000000000157,양잠현황(총괄),기능성양잠산업현황,,"잠업에 종사하는 전국의 모든 잠업가구의 양잠형태별 생산현황, 누에 생산 및 판매현황 조회 서비스",1105,축산 > 곤충,,Y,Y,Y,N,Y,TI_MAFRA_SILKWM_FARM_SMRIZE,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,873,,0,N,Y
4,5,1054,,,,2014.10.14,,,,,,20141014000000000098,표준규격품 사후관리 실적통계,표준규격관리정보,,"농산물 표준규격품에 대한 조사건수,조사수량,부적격건수 등 사후관리 정보",1303,유통 > 유통관리,,Y,N,Y,N,Y,TI_NAQS_SNSDR_POSMANT_ACMSLT,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,148,,0,N,Y
5,6,1054,,,,2014.07.15,,,,,,20141014000000000099,과실류 가공내역,과실류 가공현황,,"전국의 과실류가공업체의 과종품(사과, 배, 복숭아, 포도, 감귤, 유자, 매실, 복분자, 머루, 감, 오디, 기타 과실)별 과실류 생산량 및 가공실적 통계조회 서비스",2101,식품산업 > 가공식품,,Y,Y,Y,N,Y,TI_MAFRA_FRUIT_PRCSS_DETAILS,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,655,,0,N,Y
6,7,1054,,,,2014.10.15,,,,,,20141015000000000108,농업 관측 통계 정보,관측통계정보,,"서울시 농수산물유통공사 가격정보, 전국도매시장가격정보, 중국도매시장가격정보, 기상자료 등을 한눈에 볼 수 있는 통계정보시스템",1304,유통 > 관측전망,,N,N,N,Y,N,,,201410120015,농촌경제연구원,,,,,,,,,,,,,,,,,,,,,open,386,,0,N,N
7,8,1054,,,,2014.10.15,,,,,,20141015000000000155,품목별 임산물 생산량(액),임산물통계(대국민포털),,150개 임산물 품목별 시군구별 생산량 및 생산액,1201,산림 > 산림자원,,Y,N,Y,Y,Y,TI_FOREST_PRDLT_FSRCS,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,202,,0,N,Y
8,9,1054,,,,2014.10.15,,,,,,20141015000000000156,주요품목 주산지별 생산현황,임산물통계(대국민포털),,150개 임산물 품목별 시군구별 생산량 및 생산액,1201,산림 > 산림자원,,Y,Y,Y,Y,Y,TI_FOREST_MAIN_PRDLST_CPD,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,135,,0,N,Y
9,10,1054,,,,2014.10.15,,,,,,20141015000000000158,양잠산물 생산현황,기능성양잠산업현황,,"잠업에 종사하는 전국의 모든 잠업가구의 양잠형태별 생산현황, 누에 생산 및 판매현황 조회 서비스",1105,축산 > 곤충,,Y,Y,Y,N,Y,TI_MAFRA_SILKWM_FARM_BULK,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,382,,0,N,Y
10,11,1054,,,,2014.10.15,,,,,,20141015000000000159,시군구별_관리소별 임산물 생산량(액),임산물통계(대국민포털),,150개 임산물 품목별 시군구별 생산량 및 생산액,1201,산림 > 산림자원,,Y,Y,Y,Y,Y,TI_FOREST_SIGNGU_MO_FSRCS,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,163,,0,N,Y
11,12,1054,,,,2014.10.15,,,,,,20141015000000000160,뽕밭 규모별 농가수,기능성양잠산업현황,,"잠업에 종사하는 전국의 모든 잠업가구의 양잠형태별 생산현황, 누에 생산 및 판매현황 조회 서비스",1105,축산 > 곤충,,Y,Y,Y,N,Y,TI_MAFRA_FLD_SCALE_FRMHS_CO,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,399,,0,N,Y
12,13,1054,,,,2014.10.15,,,,,,20141015000000000161,누에사육 규모별 농가수,기능성양잠산업현황,,"잠업에 종사하는 전국의 모든 잠업가구의 양잠형태별 생산현황, 누에 생산 및 판매현황 조회 서비스",1105,축산 > 곤충,,Y,Y,Y,N,Y,TI_MAFRA_SCALE_FRMHS_CO,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,747,,0,N,Y
13,14,1054,,,,2014.10.15,,,,,,20141015000000000162,누에씨 생산실적 및 계획,기능성양잠산업현황,,"잠업에 종사하는 전국의 모든 잠업가구의 양잠형태별 생산현황, 누에 생산 및 판매현황 조회 서비스",1105,축산 > 곤충,,Y,Y,Y,N,Y,TI_MAFRA_SILKWEGG_PRDCTN,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,443,,0,N,Y
14,15,1054,,,,2014.10.15,,,,,,20141015000000000163,뽕나무 묘목 생산공급현황,기능성양잠산업현황,,"잠업에 종사하는 전국의 모든 잠업가구의 양잠형태별 생산현황, 누에 생산 및 판매현황 조회 서비스",1105,축산 > 곤충,,Y,Y,Y,N,Y,TI_MAFRA_MULBERRY_YNGPLNT,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,391,,0,N,Y
15,16,1054,,,,2014.10.15,,,,,,20141015000000000217,우수농산물(GAP) 인증기관 정보,GAP인증정보,,우수농산물(GAP) 인증기관 정보,2301,품질관리 > 인증,,Y,Y,Y,N,Y,TI_NAQS_GAP_CRTFC_INSTT,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,712,,0,Y,N
16,17,1054,,,,2014.10.15,,,,,,20141015000000000166,지방청별 임산물 생산량(액),임산물통계(대국민포털),,150개 임산물 품목별 시군구별 생산량 및 생산액,1201,산림 > 산림자원,,Y,Y,Y,Y,Y,TI_FOREST_INNCE_FSRCS,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,116,,0,N,Y
17,18,1054,,,,2014.10.14,,,,,,20141014000000000086,동물의약품 허가결과정보,동물의약품 허가결과정보,,동물용의약품(외품)·의료기기 허가(신고) 신청에 따른 결과(품목별),1903,농축산기술 > 허가정보,,Y,Y,Y,N,Y,TI_QIA_MDCIN_PRMISN_RESULT,,201410120004,농림축산검역본부,,,,,,,,,,,,,,,,,,,,,open,167,,0,N,N
18,19,1054,,,,2014.10.14,,,,,,20141014000000000015,시도별 우유 생산량,우유 및 유제품 생산소비현황,,전국(시도별) 우유생산량,1103,축산 > 유제품,,Y,Y,Y,N,Y,TI_MAFRA_CTPRVN_MILK_PRDCTN,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,415,,0,N,Y
19,20,1054,,,,2014.10.14,,,,,,20141014000000000016,유제품별 생산 및 소비실적,우유 및 유제품 생산소비현황,,유제품별 생산 및 소비실적,1103,축산 > 유제품,,Y,Y,Y,N,Y,TI_MAFRA_DYCTS_PRDCTN_CNSMP,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,1620,,0,N,Y
20,21,1054,,,,2014.10.14,,,,,,20141014000000000020,재배품목별 면세유 공급현황,면세유사후관리,,"면세유의 지역별, 재배품목별 공급현황 자료",1907,농축산기술 > 농자재,,Y,Y,Y,N,Y,TI_MAFRA_PRDLST_TAXXPT_OIL,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,519,,0,N,Y
21,22,1054,,,,2014.10.14,,,,,,20141014000000000021,밭 농업 직불제,밭농업직불제 지원현황,,"지역별 밭농업직불제(하계, 동계) 지급현황",2401,농업정책 > 국내정책,,Y,Y,Y,N,Y,TI_MAFRA_FILD_FARMNG_DEBIT,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,702,,0,N,N
22,23,1054,,,,2014.10.14,,,,,,20141014000000000024,조건불리지역 직접지불제 지원현황,조건불리지역직접지불제 지원현황,,"지역별 조건불리지역직불금 지급 농가통계, 지급현황 자료",2401,농업정책 > 국내정책,,Y,Y,Y,N,Y,TI_MAFRA_DSDVN_DEBIT_SPORT,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,475,,0,N,N
23,24,1054,,,,2014.10.14,,,,,,20141014000000000025,조건불리지역 직불 지급현황,조건불리지역직접지불제 지원현황,,"지역별 조건불리지역직불금 지급 농가통계, 지급현황 자료",2401,농업정책 > 국내정책,,Y,Y,Y,N,Y,TI_MAFRA_DSDVN_DEBIT_PYMNT,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,176,,0,N,N
24,25,1054,,,,2014.05.15,,,,,,20141014000000000030,재단 법인,비영리법인현황,,"농림축산식품부장관이 허가한 비영리 사단, 재단법인 현황",1911,농축산기술 > 경영,,Y,Y,Y,N,Y,TI_MAFRA_FNDT,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,416,,0,Y,N
25,26,1054,,,,2014.10.14,,,,,,20141014000000000096,연간 정곡검사 통계,정곡검사정보,,쌀에 대한 연도별 시도별 등 검사 실적 통계,2203,식품안전 > 검사,,Y,N,Y,N,Y,TI_NAQS_FYER_TSHRICE_INSPCT,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,158,,0,N,Y
26,27,1054,,,,2014.10.15,,,,,,20141015000000000118,품목관측정보-월보,농업관측정보DB,,"엽근,양념,과일,과채,곡물,축산 월보 요약내용",1304,유통 > 관측전망,,Y,N,Y,N,N,TI_KREI_PRDLST_OBSR_ND_MTHPR,,201410120015,농촌경제연구원,,,,,,,,,,,,,,,,,,,,,open,523,,0,N,N
27,28,1054,,,,2014.10.15,,,,,,20141015000000000119,품목 정의,농업관측정보DB,,"엽근,양념,과일,과채,곡물,축산 월보 요약내용",1304,유통 > 관측전망,,Y,N,Y,N,N,TI_KREI_PRDLST_DFN,,201410120015,농촌경제연구원,,,,,,,,,,,,,,,,,,,,,open,349,,0,N,N
28,29,1054,,,,2014.10.15,,,,,,20141015000000000122,소비 관측,농업 관측 정보,,"주요 농산물에 대한 가계 소비 현황 및 음식점 소비 현황을 파악하고, 소비 관련 다양한 정보 등을 조사·제공",1302,유통 > 소비동향,,N,N,N,Y,N,,,201410120015,농촌경제연구원,,,,,,,,,,,,,,,,,,,,,open,239,,0,N,N
29,30,1054,,,,2014.04.15,,,,,,20141015000000000124,국가 표준 식물 목록_정명,국가표준식물목록(국가생물종 지식정보),,"식물의 이름을 표준화하고자 식물별 전문연구자가 최근의 분류학적 연구를 바탕으로 한 식물명을 정리하고, 국가식물목록위원회에서 검토·심의·결정하여 정리한 목록",1902,농축산기술 > 생명자원,,Y,Y,Y,Y,Y,TI_FOREST_CYTD_PLNT_LIST_CO_NM,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,762,,0,N,N
30,31,1054,,,,2014.10.15,,,,,,20141015000000000125,국립수목원 귀화식물,귀화식물(국가생물종 지식정보),,인위적 또는 자연적으로 들어와서 자연생태계에 도태되지 않고 자력으로 토착하여 나름대로 공존하면서 살아가는 귀화식물의 데이터베이스를 구축,1902,농축산기술 > 생명자원,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,45,,0,N,N
31,32,1054,,,,2014.10.15,,,,,,20141015000000000131,맞춤형조림지도-제주시,맞춤형조림지도(산림공간정보 1:25000),,"전국 산림에 대한 토양, 입지 조건을 분석하여 대상 산림에 가장 적합한 나무를 심을 수 있도록 제작한 조림지도",1201,산림 > 산림자원,,N,Y,N,N,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,112,,0,N,N
32,33,1054,,,,2014.10.15,,,,,,20141015000000000132,임도망도-서귀포시,임도망도(산림공간정보),,산림을 효율적으로 경영·관리할 수 있도록 산림내 시설한 임도의 노선도,1201,산림 > 산림자원,,N,Y,N,N,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,46,,0,N,N
33,34,1054,,,,2014.10.15,,,,,,20141015000000000134,임도망도-제주시,임도망도(산림공간정보),,산림을 효율적으로 경영·관리할 수 있도록 산림내 시설한 임도의 노선도,1201,산림 > 산림자원,,N,Y,N,N,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,66,,0,N,N
34,35,1054,,,,2014.10.15,,,,,,20141015000000000139,임상도-제주시,임상도(산림공간정보 1:25000),,"산림의 임종, 수종, 영급, 경급, 소밀도에 대한 정보를 지도로 구축",1201,산림 > 산림자원,,N,Y,N,N,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,49,,0,N,N
35,36,1054,,,,2014.10.14,,,,,,20141014000000000017,특용 작물 생산 통계,특용작물생산통계,,"특용작물, 버섯 등 생산실적 통계조회 서비스",1004,농산 > 특용작물,,Y,Y,Y,N,Y,TI_MAFRA_CPCLPR_PRDCTN_STTUS,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,2195,,0,N,Y
36,37,1054,,,,2014.10.14,,,,,,20141014000000000013,연도별 가공업체 현황,과실류 가공현황,,"전국의 과실류가공업체의 과종품(사과, 배, 복숭아, 포도, 감귤, 유자, 매실, 복분자, 머루, 감, 오디, 기타 과실)별 과실류 생산량 및 가공실적 통계조회 서비스",2101,식품산업 > 가공식품,,Y,Y,Y,N,Y,TI_MAFRA_YEAR_PRCSS_ENTRPS,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,1203,,0,N,Y
37,38,1054,,,,2014.10.14,,,,,,20141014000000000014,배합 사료 생산 실적,배합사료생산실적,,축종별 배합사료,1102,축산 > 사료,,Y,Y,Y,N,Y,TI_MAFRA_ARDD_PRDCTN_ACMSLT,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,1590,,0,N,N
38,39,1054,,,,2014.10.14,,,,,,20141014000000000018,경관보전직불 사업지구,경관보전직접지불 사업지구 현황,,경관직불 사업지구현황(마을별 경관작물 현황),1702,농촌복지 > 농촌개발,,Y,Y,Y,N,Y,TI_MAFRA_SCENE_PRESV_BSNS,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,838,,0,N,N
39,40,1054,,,,2014.10.14,,,,,,20141014000000000019,지역별 면세유 공급현황,면세유사후관리,,면세유의 지역별 공급현황 자료,1907,농축산기술 > 농자재,,Y,Y,Y,N,Y,TI_MAFRA_AREA_TAXXPT_OIL,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,182,,0,N,Y
40,41,1054,,,,2014.10.14,,,,,,20141014000000000023,쌀소득등보전직불제 지급현황_변동,쌀소득등보전직불제 지원현황,,"지역별 쌀소득등보전직불제(고정직불, 변동직불) 지급현황",2401,농업정책 > 국내정책,,Y,Y,Y,N,Y,TI_MAFRA_RICE_DEBIT_CHG,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,615,,0,N,N
41,42,1054,,,,2014.10.14,,,,,,20141014000000000028,토양개량제지원 현황,토양개량제 지원사업 현황,,"토양개량제 지역별(읍면동) 신청,배정현황",1401,농지용수 > 농지,,Y,Y,Y,N,Y,TI_MAFRA_SPRV_SPORT_STTUS,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,813,,0,N,N
42,43,1054,,,,2014.10.14,,,,,,20141014000000000029,사단법인,비영리법인현황,,"농림축산식품부장관이 허가한 비영리 사단, 재단법인 현황",1911,농축산기술 > 경영,,Y,Y,Y,N,Y,TI_MAFRA_CRGGRG,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,1765,,0,Y,N
43,44,1054,,,,2014.10.14,,,,,,20141014000000000031,우수외식업지구 식당현황,우수외식업지구 식당현황,,우수외식업지구 식당 상세 정보,2102,식품산업 > 식품기업,,Y,Y,Y,N,Y,TI_MAFRA_EXCLNC_FDBSN_DSTRC,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,919,,0,N,N
44,45,1054,,,,2014.10.14,,,,,,20141014000000000032,농림축산식품부_외식기업해외진출 실태조사,국내 외식기업 해외진출 현황,,국내 외식기업의 해외지출 현황,2105,식품산업 > 통계,,Y,Y,Y,N,Y,TI_MAFRA_DMSTC_FDENT_OVSEA,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,1003,,0,N,N
45,46,1054,,,,2014.09.16,,,,,,20141015000000000153,산림 ICT서비스,산림ICT서비스(산림조사 전자야장),,기존 종이야장을 이용하던 현장업무 방식을 스마트기기를 활용하여 처리하는 방식의 스마트야장 기술 제공,1205,산림 > 연구정보,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,128,,0,N,N
46,47,1054,,,,2014.10.15,,,,,,20141015000000000154,산불 위험 예보,산불위험예보정보,,"리정보시스템(GIS)을 응용하여 전국의 각 지역별 지형조건ㆍ산림의 상황과 기상청에서 예보하는 온도, 습도, 풍속 등 기상조건을 실시간으로 종합 분석, 산불위험도가 높은 지역을 예측하여 심각(86이상, 적색), 경계(66~85, 오렌지색), 주의(51~65, 황색), 관심(50이하, 청색) 등 4가지 위험수준으로 대국민 서비스",1203,산림 > 산림재해,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,136,,0,N,N
47,48,1054,,,,2014.10.15,,,,,,20141015000000000214,주류산업 정보 실태조사,주류산업정보 실태조사,,"주류산업정보 실태조사(주류 제조업체 현황,막걸지 제조업체 현황 등)결과",2102,식품산업 > 식품기업,,N,Y,N,N,N,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,194,,0,N,N
48,49,1054,,,,2014.10.16,,,,,,20141016000000000249,졸업생 영농종사 현황,졸업생 영농종사 현황,,"영농정착 우수사례 등 졸업생 영농 종사현황 정보 이용을 통해 농업분야에 대한 청장년 젊은 계층의 인식 전환, 영농창업 유발 확산, 농촌지역 활력 증진",1600,교육,,N,Y,N,N,N,,,201410120005,한국농수산대학,,,,,,,,,,,,,,,,,,,,,open,540,,0,N,N
49,50,1054,,,,2014.01.06,,,,,,20141015000000000169,품목(목재제품 DB백과),목재제품 DB백과(한국임업진흥원) ,,"15개의 목재제품을 정의, 영명, 주요용도, 관련용어설명, 종류, 현황, 유통경로, 특성으로 구분하며 정보 제공",1201,산림 > 산림자원,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,93,,0,N,N
50,51,1054,,,,2014.10.15,,,,,,20141015000000000172,종류(임산물 DB백과),임산물 DB백과(임업진흥원) ,,"90개의 임산물을 정의, 종류, 분포, 형태/구조, 식물학적특성, 생태적특성, 생리적특성, 용도, 효능으로 구분하며 정보 제공",1201,산림 > 산림자원,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,61,,0,N,N
51,52,1054,,,,2014.10.15,,,,,,20141015000000000173,품목(임산물 DB백과),임산물 DB백과(임업진흥원) ,,"90개의 임산물을 정의, 종류, 분포, 형태/구조, 식물학적특성, 생태적특성, 생리적특성, 용도, 효능으로 구분하며 정보 제공",1201,산림 > 산림자원,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,31,,0,N,N
52,53,1054,,,,2013.10.16,,,,,,20141015000000000174,기본정보(임산물 DB백과),임산물 DB백과(임업진흥원) ,,"90개의 임산물을 정의, 종류, 분포, 형태/구조, 식물학적특성, 생태적특성, 생리적특성, 용도, 효능으로 구분하며 정보 제공",1201,산림 > 산림자원,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,40,,0,N,N
53,54,1054,,,,2014.10.15,,,,,,20141015000000000205,화훼류 시도별 재배현황,화훼류 재배현황,,"화훼를 재배하는 전 농가에 대한 화훼 품목별 재배면적, 농가수, 생산액, 시설유형 통계조회 서비스",1002,농산 > 원예작물,,Y,Y,Y,N,Y,TI_MAFRA_CTPRVN_CTVT,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,570,,0,N,Y
54,55,1054,,,,2013.11.07,,,,,,20141015000000000209,식품 산업별 원료 소비 실태,식품산업별원료소비실태조사,,식품산업 원재료 농축산물 구매량 등 소비실태,1302,유통 > 소비동향,,N,Y,N,N,N,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,225,,0,N,N
55,56,1054,,,,2014.10.15,,,,,,20141015000000000210,농지 실거래가 동향분석결과,농지 실거래가 동향,,"공인중개사의 업무 및 부동산 거래신고에 관한 법률 제27조에 의해 신고된 농지(논,밭,과수원)의 실거래 가격 정보(읍.면.동별 평균, 최저,최고가)",1401,농지용수 > 농지,,Y,Y,Y,N,Y,TI_MAFRA_A_FRLND_SIGUN_DST,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,229,,0,N,Y
56,57,1054,,,,2013.12.19,,,,,,20141015000000000215,가축인공 수정사 면허취득 현황,가축인공수정사 및 인공수정소 현황,,"연도별, 지역별 가축인공수정사 면허취득현황 통계자료 ",1902,농축산기술 > 생명자원,,Y,Y,Y,N,Y,TI_MAFRA_ARTINSEMI_LCNS_ACQS,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,199,,0,N,N
57,58,1054,,,,2014.10.16,,,,,,20141016000000000231,수협 산지위판장 경락가격,경락가격정보서비스,,전국 수협산지위판장 수산물 경매결과 경락가격 정보,1301,유통 > 유통가격,,N,N,Y,Y,N,,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,1060,,0,N,N
58,59,1054,,,,2014.10.16,,,,,,20141016000000000235,농협 공판장 경락가격,경락가격정보서비스,,"경락가격정보를 조회하기 위한 서비스로서 농산물, 축산물, 수산물, 화훼류, 산지공판장, 종합유통센터별로 조회",1301,유통 > 유통가격,,Y,Y,Y,Y,Y,TI_EPIS_FLPLNT_NACF_AUCCT,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,3900,,0,N,N
59,60,1054,,,,2014.01.14,,,,,,20141016000000000237,국화 품종보호 화보집,품종보호 등록품종 화보,,"품종보호 출원하여 등록된 거베라, 국화 품종에 대한 식물 소개(꽃 이미지, 품종설명 등)",1906,농축산기술 > 종자,,N,Y,N,N,N,,,201410120003,국립종자원,,,,,,,,,,,,,,,,,,,,,open,76,,0,N,N
60,61,1054,,,,2014.10.16,,,,,,20141016000000000243,임산물 조사가격,기관조사가격서비스,,Agency investigation services,1301,유통 > 유통가격,,Y,Y,Y,Y,Y,TI_EPIS_FSRCS_EXAMIN_AUCCT,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,1249,,0,N,N
61,62,1054,,,,2013.01.03,,,,,,20141016000000000306,귀농귀촌 성공의 지름길,귀농귀촌 성공의 지름길,,성공적인 귀농?귀촌 정착을 위한 동영상 강의자료,2500,귀농귀촌,,N,N,N,Y,N,,,201410120006,농식품공무원교육원,,,,,,,,,,,,,,,,,,,,,open,317,,0,N,N
62,63,1054,,,,2014.10.16,,,,,,20141016000000000307,약초의 효능,약초의 효능,,약용하는 식물의 효능에 대한 동영상 강의자료,1600,교육,,N,N,N,Y,N,,,201410120006,농식품공무원교육원,,,,,,,,,,,,,,,,,,,,,open,164,,0,N,N
63,64,1054,,,,2013.07.17,,,,,,20141016000000000308,(강의명)농식품 브랜드 마케팅 성공전략,동영상 강의 정보,,농식품브랜드의 경쟁력 강화와 실질적인 마케팅 업무 역량 향상을 위한 동영상 강의자료,1600,교육,,N,N,N,Y,N,,,201410120006,농식품공무원교육원,,,,,,,,,,,,,,,,,,,,,open,173,,0,N,N
64,65,1054,,,,2014.10.15,,,,,,20141015000000000117,첨부파일 정보,농업관측정보DB,,"월보, 속보에 연결된 첨부파일 정보",1304,유통 > 관측전망,,Y,N,Y,N,N,TI_KREI_ATCHMNFL_INFO,,201410120015,농촌경제연구원,,,,,,,,,,,,,,,,,,,,,open,220,,0,N,N
65,66,1054,,,,2014.10.15,,,,,,20141015000000000127,종자 정보,산림종자정보(국가생물종 지식정보),,"종자(씨)에 대한 종정보, 발아실험정보, 채집정보 등을 이미지와 함께 제공",1902,농축산기술 > 생명자원,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,81,,0,N,N
66,67,1054,,,,2014.10.15,,,,,,20141015000000000128,국립수목원 식물도감,식물도감(국가생물종 지식정보),,식물도감(종·생태·이미지 정보 등) 정보,1902,농축산기술 > 생명자원,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,72,,0,N,N
67,68,1054,,,,2014.10.15,,,,,,20141015000000000130,맞춤형조림지도-서귀포시,맞춤형조림지도(산림공간정보 1:25000),,"전국 산림에 대한 토양, 입지 조건을 분석하여 대상 산림에 가장 적합한 나무를 심을 수 있도록 제작한 조림지도",1201,산림 > 산림자원,,N,Y,N,N,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,80,,0,N,N
68,69,1054,,,,2014.10.15,,,,,,20141015000000000136,임상도-서귀포시,임상도(산림공간정보 1:25000),,"산림의 임종, 수종, 영급, 경급, 소밀도에 대한 정보를 지도로 구축",1201,산림 > 산림자원,,N,Y,N,N,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,48,,0,N,N
69,70,1054,,,,2014.10.14,,,,,,20141014000000000039,IBT융합기술R&D 특허정보,농림수산식품 IBT 융합 R&D 정보,,농림수산식품 IBT 융합 R&D 특허 정보,1909,농축산기술 > R&D,,Y,Y,Y,N,Y,TI_IPET_IBT_PATENT,,201410120011,농림수산식품기술기획평가원,,,,,,,,,,,,,,,,,,,,,open,277,,0,N,N
70,71,1054,,,,2014.10.14,,,,,,20141014000000000044,바이오R&D 과제정보,농림수산식품 바이오 R&D 정보,,농림수산식품 바이오R&D 과제 정보,1909,농축산기술 > R&D,,Y,Y,Y,N,Y,TI_IPET_BIO_TASK,,201410120011,농림수산식품기술기획평가원,,,,,,,,,,,,,,,,,,,,,open,1307,,0,N,N
