,rn,total_cnt,file_infos,regist_id,regist_nm,regist_dt,regist_date,updt_id,updt_nm,updt_dt,updt_date,data_id,data_nm,dataset_nm,dataset_dc,data_dc,cl_code,cl_full_nm,cl_nm_new,grid_provd_ennc,file_provd_ennc,api_provd_ennc,link_provd_ennc,raw_data_provd_ennc,entity_id,api_id,provd_instt_id,provd_instt_nm,jrsd_instt_code,jrsd_instt_nm,kwrd_one,kwrd_two,kwrd_three,job_charger_psitn,job_charger_nm,job_charger_tlphon_no,dataset_rm,lang,lang_nm,hold_stl_code,hold_stle_nm,updt_cycle_code,updt_cycle_nm,nxttrm_regist_prarnde,threeman_right_incls_ennc,ccl_code,ccl_nm,opn_year,realm_code,rdcnt,data_rm,tot_cnt,map_provd_ennc,chart_provd_ennc
877,878,1054,,,,2019.10.10,,,,,,20191010000000001192,농림축산식품부_식물신품종 보호법령집(2013),농림축산식품부_종자 관련 법령,,"식물신품종 보호법 및 동법 시행령, 시행규칙 정보입니다.",1906,농축산기술 > 종자,,,,,Y,,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,5,,0,,
878,879,1054,,,,2019.10.10,,,,,,20191010000000001193,증류주개론(2015),농림축산식품부_증류주개론,,농림축산식품부 식품산업진흥과에서 발간한 증류주개론 = Distilled Spirits 입니다.,1702,농촌복지 > 농촌개발,,,,,Y,,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,8,,0,,
879,880,1054,,,,2019.10.10,,,,,,20191010000000001194,산림청_국유림 명품숲 지정 현황_2019,산림청_국유림명품숲 지정 현황,,"국유림 국유림 명품숲 지정 현황(유형,지정연도,명품숲 등)",1202,산림 > 휴양문화,,,Y,,N,,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,19,,0,,
880,881,1054,,,,2019.10.11,,,,,,20191011000000001195,산림청_산림탄소모아시스템 기본정보_20190924,산림청_산림탄소모아시스템 기본정보,,산림탄소등록 기본정보,1201,산림 > 산림자원,,,Y,,N,,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,10,,0,,
881,882,1054,,,,2019.10.11,,,,,,20191011000000001220,국립종자원_종자유통조사 및 종자업 등록 현황 요약_20181231,종자 유통조사 통계,,"
2018년 12월까지 실시된 종자유통조사한 항목과 조사한 총 건수 및 위반한 업체에 조치한 내역 정보, 종자유통조사 일시. 조사인원, 대상, 결과 정보  ",1906,농축산기술 > 종자,,,Y,,N,,,,201410120003,국립종자원,,,,,,,,,,,,,,,,,,,,,open,21,,0,,
882,883,1054,,,,2019.10.11,,,,,,20191011000000001221,연도별 종자 유통조사 통계 및 종자업 등록 현황_20181231 ,종자 유통조사 통계,,국립종자원_연도별 종자 유통조사 통계 및 종자업 등록 현황_20181231 ,1906,농축산기술 > 종자,,,Y,,N,,,,201410120003,국립종자원,,,,,,,,,,,,,,,,,,,,,open,22,,0,,
883,884,1054,,,,2019.10.14,,,,,,20191014000000001290,2018년 종료 농림식품 식품 R&amp;amp;amp;D 특허정보,농림식품 R&amp;D 식품 특허정보,,"2018년 종료 농림식품 식품 연구개발사업 특허의(과제번호, 사업명, 과제명, 연구책임자, 특허명, 출원기관/인, 등록년도, 출원국가)",1001,농산 > 식량작물,,,N,,Y,,,,201410120011,농림수산식품기술기획평가원,,,,,,,,,,,,,,,,,,,,,open,58,,0,,
884,885,1054,,,,2019.10.14,,,,,,20191014000000001303,2018년 종료 농림식품 경제사회 R&amp;amp;amp;D 과제정보,농림식품 경제사회 R&amp;D 논문정보,,"농림식품 경제사회 연구개발사업의(사업명, 과제번호, 과제명, 주관연구기관, 연구시작년도, 연구종료년도, 연구비, 연구내용)",1702,농촌복지 > 농촌개발,,,Y,,N,,,,201410120011,농림수산식품기술기획평가원,,,,,,,,,,,,,,,,,,,,,open,42,,0,,
885,886,1054,,,,2019.10.14,,,,,,20191014000000001319,2018년 종료 농림식품 농산 R&amp;amp;amp;D 특허정보 ,농림식품 농산 R&amp;D 특허정보 ,,"2018년 종료 농림식품 농산 연구개발사업 특허의(과제번호, 사업명, 과제명, 연구책임자, 특허명, 출원기관/인, 등록년도, 출원국가) ",1909,농축산기술 > R&D,,,Y,,N,,,,201410120011,농림수산식품기술기획평가원,,,,,,,,,,,,,,,,,,,,,open,29,,0,,
886,887,1054,,,,2019.10.14,,,,,,20191014000000001325,농림식품 동물자원생산 R&amp;amp;amp;D 논문정보(2017년 12월) ,농림식품 동물자원생산 R&amp;D 논문정보,,"농림식품 동물자원생산 R&amp;amp;amp;D 논문정보의(과제번호, 과제명, 연구책임자, 논문명, 학술지 출판년도, 저자, 학술지명) ",1909,농축산기술 > R&D,,,Y,,N,,,,201410120011,농림수산식품기술기획평가원,,,,,,,,,,,,,,,,,,,,,open,51,,0,,
887,888,1054,,,,2019.10.14,,,,,,20191014000000001326,농림식품 동물자원생산 R&amp;amp;amp;D 특허정보(2017년 12월) ,농림식품 동물자원생산 R&amp;D 특허정보,,"농림식품 동물자원생산 R&amp;amp;amp;D 특허정보의(과제번호, 과제명, 연구책임자, 특허명, 출연기관/인, 등록년도, 출원국가) ",1909,농축산기술 > R&D,,,Y,,N,,,,201410120011,농림수산식품기술기획평가원,,,,,,,,,,,,,,,,,,,,,open,44,,0,,
888,889,1054,,,,2019.10.14,,,,,,20191014000000001327,2018년 종료 농림식품 산림생산 R&amp;amp;amp;D 과제정보 ,농림식품 산림생산 R&amp;D 과제정보,,"2018년 종료 농림식품 산림생산 연구개발사업의(사업명, 과제번호, 과제명, 주관연구기관, 연구시작년도, 연구종료년도, 연구비, 연구내용) ",1909,농축산기술 > R&D,,,Y,,N,,,,201410120011,농림수산식품기술기획평가원,,,,,,,,,,,,,,,,,,,,,open,4,,0,,
889,890,1054,,,,2019.10.14,,,,,,20191014000000001328,농림식품 산림생산 R&amp;amp;amp;D 과제정보(2017년 12월) ,농림식품 산림생산 R&amp;D 과제정보,,"농림식품 산림생산 연구개발사업의(사업명, 과제번호, 과제명, 주관연구기관, 연구시작년도, 연구종료년도, 연구비, 연구내용) ",1909,농축산기술 > R&D,,,Y,,N,,,,201410120011,농림수산식품기술기획평가원,,,,,,,,,,,,,,,,,,,,,open,6,,0,,
